Model,Avg_Accuracy,Avg_Precision,Avg_Recall,Avg_F1,Avg_AUC
vae_shallow_z16_b1,0.6578179291801416,0.46751784362047166,0.09771667438651378,0.1540200667980553,0.5188769229999858
vae_deep_z32_b05,0.6578312128724584,0.4680422636190659,0.09767316555428295,0.15401081645587064,0.5192937673364577
vae_wide_z8_b2,0.6578177303226542,0.4676652730779753,0.09764411716621438,0.15394317361991344,0.5190244942922123
vae_deep_z32_b1,0.6577752281829994,0.46764986462301167,0.09754482493114143,0.15384432912731041,0.5193495386373167
