Class,AUC,AP
Normal,0.9875456262759339,0.996617118054491
Botnet,0.9930393118121468,0.09593602201563797
Brute Force,0.9895759148339969,0.587297112818216
DoS,0.9959409907048775,0.9797352187547058
PortScan,0.9951673794363397,0.9135328100175218
Unknown,0.1252491803106963,4.71085272432959e-05
